type,non-vacant energy (eV),initial energy (eV),saddle point (eV),final energy (eV),energy barrier (eV)
1,-8502.01543,-8496.3052,-8495.0652,-8496.3328,1.2400000000016007
3,-8502.01543,-8496.3052,-8495.4656,-8496.6164,0.8396000000011554
2,-8502.01543,-8496.3052,-8495.5031,-8496.2002,0.8021000000007916
2,-8502.01543,-8496.3052,-8495.1982,-8496.2687,1.106999999999971
1,-8502.01543,-8496.3052,-8495.1393,-8496.3248,1.165899999999965
3,-8502.01543,-8496.3052,-8494.9576,-8496.3307,1.3476000000009662
3,-8502.01543,-8496.3052,-8494.7406,-8496.5318,1.5646000000015192
3,-8502.01543,-8496.3052,-8495.0893,-8496.2918,1.2159000000010565
3,-8502.01543,-8496.3052,-8495.2527,-8496.323,1.0525000000016007
2,-8502.01543,-8496.3052,-8495.3345,-8496.1813,0.9706999999998516
3,-8502.01543,-8496.3052,-8495.2844,-8496.3786,1.0208000000002357
2,-8502.01543,-8496.3052,-8495.1181,-8496.3587,1.18710000000101
3,-8502.01543,-8495.8013,-8494.3433,-8495.4263,1.4579999999987194
3,-8502.01543,-8495.8013,-8494.5326,-8495.4352,1.2686999999987165
3,-8502.01543,-8495.8013,-8494.5209,-8495.4485,1.280399999999645
2,-8502.01543,-8495.8013,-8494.6172,-8495.3423,1.1840999999985797
1,-8502.01543,-8495.8013,-8494.6041,-8495.8166,1.197199999998702
1,-8502.01543,-8495.8013,-8494.7059,-8495.7512,1.0953999999983353
1,-8502.01543,-8495.8013,-8494.8187,-8495.8512,0.9825999999993655
2,-8502.01543,-8495.8013,-8494.4692,-8495.6697,1.3320999999996275
1,-8502.01543,-8495.8013,-8494.8196,-8495.778,0.9816999999984546
2,-8502.01543,-8495.8013,-8494.56,-8495.5798,1.2412999999996828
1,-8502.01543,-8495.8013,-8494.7997,-8495.7,1.0015999999995984
1,-8502.01543,-8495.8013,-8494.8918,-8495.7344,0.9094999999997526
2,-8502.01543,-8496.2929,-8495.1532,-8496.2372,1.1396999999997206
1,-8502.01543,-8496.2929,-8495.2427,-8496.2192,1.050199999999677
2,-8502.01543,-8496.2929,-8494.9261,-8495.9704,1.3667999999997846
1,-8502.01543,-8496.2929,-8495.3487,-8496.2955,0.9441999999999098
3,-8502.01543,-8496.2929,-8495.0244,-8496.435,1.268500000000131
3,-8502.01543,-8496.2929,-8495.2322,-8496.285,1.060699999999997
3,-8502.01543,-8496.2929,-8494.9951,-8496.2905,1.2978000000002794
1,-8502.01543,-8496.2929,-8495.0166,-8496.1513,1.2762999999995372
1,-8502.01543,-8496.2929,-8495.3886,-8496.2864,0.9043000000001484
3,-8502.01543,-8496.2929,-8495.2953,-8496.453,0.9976000000006024
1,-8502.01543,-8496.2929,-8495.245,-8496.2893,1.0478999999995722
1,-8502.01543,-8496.2929,-8495.5973,-8496.3969,0.6956000000009226
1,-8502.01543,-8496.4292,-8495.6499,-8496.595,0.7793000000001484
2,-8502.01543,-8496.4292,-8495.2243,-8496.4331,1.2049000000006345
1,-8502.01543,-8496.4292,-8495.5781,-8496.6089,0.8510999999998603
3,-8502.01543,-8496.4292,-8495.3774,-8496.4435,1.0518000000010943
1,-8502.01543,-8496.4292,-8495.1399,-8496.5387,1.2893000000003667
3,-8502.01543,-8496.4292,-8495.1759,-8496.413,1.2533000000003085
2,-8502.01543,-8496.4292,-8495.0947,-8496.3759,1.334500000000844
2,-8502.01543,-8496.4292,-8494.961,-8496.4796,1.4682000000011612
3,-8502.01543,-8496.4292,-8495.1513,-8496.1784,1.2779000000009546
3,-8502.01543,-8496.4292,-8495.504,-8496.4562,0.925199999999677
3,-8502.01543,-8496.4292,-8495.1974,-8496.27,1.2318000000013853
3,-8502.01543,-8496.4292,-8495.2634,-8496.3309,1.1658000000006723
1,-8502.01543,-8495.5891,-8494.6027,-8495.6915,0.9863999999997759
3,-8502.01543,-8495.5891,-8494.7094,-8495.9034,0.8796999999995023
1,-8502.01543,-8495.5891,-8494.6974,-8495.8294,0.8917000000001281
3,-8502.01543,-8495.5891,-8494.2866,-8495.6956,1.3024999999997817
3,-8502.01543,-8495.5891,-8494.5712,-8495.8109,1.0178999999989173
3,-8502.01543,-8495.5891,-8494.6247,-8495.649,0.9643999999989319
2,-8502.01543,-8495.5891,-8494.4547,-8495.8779,1.1343999999990046
3,-8502.01543,-8495.5891,-8494.5726,-8495.7651,1.0164999999997235
1,-8502.01543,-8495.5891,-8494.6253,-8495.7446,0.9637999999995372
2,-8502.01543,-8495.5891,-8494.493,-8495.8679,1.0960999999988417
2,-8502.01543,-8495.5891,-8494.534,-8495.8782,1.0550999999995838
2,-8502.01543,-8495.5891,-8494.3579,-8495.9478,1.2311999999983527
1,-8502.01543,-8496.5297,-8495.3926,-8496.3687,1.1370999999999185
3,-8502.01543,-8496.5297,-8495.2763,-8496.3028,1.2533999999996013
1,-8502.01543,-8496.5297,-8495.6535,-8496.3786,0.8761999999987893
1,-8502.01543,-8496.5297,-8495.3115,-8496.3662,1.2181999999993423
2,-8502.01543,-8496.5297,-8495.2711,-8496.3645,1.2585999999992055
2,-8502.01543,-8496.5297,-8495.1878,-8496.3729,1.3418999999994412
3,-8502.01543,-8496.5297,-8495.2647,-8496.2641,1.264999999999418
1,-8502.01543,-8496.5297,-8495.5507,-8496.5318,0.9789999999993597
1,-8502.01543,-8496.5297,-8495.4469,-8496.3327,1.0827999999983149
1,-8502.01543,-8496.5297,-8495.5498,-8496.3194,0.9798999999984517
1,-8502.01543,-8496.5297,-8495.5184,-8496.4331,1.0112999999983003
1,-8502.01543,-8496.5297,-8495.5978,-8496.3314,0.9318999999995867
1,-8502.01543,-8495.8098,-8494.7614,-8495.6982,1.048400000001493
2,-8502.01543,-8495.8098,-8494.6512,-8495.7309,1.1586000000006607
3,-8502.01543,-8495.8098,-8494.4961,-8495.7244,1.3137000000006083
1,-8502.01543,-8495.8098,-8494.9144,-8495.8446,0.8954000000012456
1,-8502.01543,-8495.8098,-8494.9044,-8495.7512,0.9054000000014639
1,-8502.01543,-8495.8098,-8494.8767,-8495.8512,0.933100000000195
3,-8502.01543,-8495.8098,-8494.5502,-8495.6812,1.2596000000012282
2,-8502.01543,-8495.8098,-8494.483,-8495.7525,1.3268000000007305
1,-8502.01543,-8495.8098,-8494.7814,-8495.657,1.0284000000010565
2,-8502.01543,-8495.8098,-8494.4188,-8495.5301,1.3910000000014406
3,-8502.01543,-8495.8098,-8494.4848,-8495.6808,1.3250000000007276
1,-8502.01543,-8495.8098,-8494.6542,-8495.6688,1.1556000000000495
2,-8502.01543,-8496.3859,-8495.025,-8496.044,1.360899999999674
3,-8502.01543,-8496.3859,-8495.3263,-8496.4534,1.0595999999986816
